id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Condo in Amsterdam · ★4.90 · 1 bedroom · 2 beds · 1.5 shared baths,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,69,3,365,2023-11-27,2.04,1,0,51,0363 5F3A 5684 6750 D14D
20168,Townhouse in Amsterdam · ★4.44 · 1 bedroom · 1 bed · 1 private bath,59484,Alexander,,Centrum-Oost,52.36407,4.89393,Private room,117,1,366,2023-12-10,2.18,2,168,30,0363 CBB3 2C10 0C2A 1E29
27886,Houseboat in Amsterdam · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,97647,Flip,,Centrum-West,52.38761,4.89188,Private room,155,3,267,2023-11-19,1.84,1,175,24,0363 974D 4986 7411 88D8
28871,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,79,2,569,2023-12-10,3.51,2,0,116,0363 607B EA74 0BD8 2F6F
29051,Rental unit in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,59,2,698,2023-12-08,4.50,2,91,97,0363 607B EA74 0BD8 2F6F
44391,Rental unit in Amsterdam · ★4.72 · 2 bedrooms · 2 beds · 1.5 baths,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,43,2022-08-20,0.27,1,0,0,0363 E76E F06A C1DD 172C
48373,Rental unit in Amsterdam · 2 bedrooms · 2 beds · 1.5 baths,220434,Vesna & Misha,,Buitenveldert - Zuidas,52.327807756778164,4.87680005722526,Entire home/apt,269,3,2,2023-11-07,0.41,1,17,2,0363 4A2B A6AD 0196 F684
49552,Guest suite in Amsterdam · ★4.93 · 2 bedrooms · 2 beds · 1 bath,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,354,3,516,2023-12-07,3.23,1,0,64,0363 576A D827 5085 6B83
50263,Condo in Amsterdam · ★4.87 · 2 bedrooms · 3 beds · 1.5 baths,230246,Donald,,Centrum-Oost,52.37118,4.93146,Entire home/apt,450,2,159,2023-05-29,0.99,1,309,7,0363 7F3D 0BAE 28C8 C7D2
50523,Bed and breakfast in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1 private bath,231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,124,2,437,2023-11-23,2.77,1,239,70,0363 22DC 0E52 B70B 0FB8
53921,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 2 beds · 1 bath,252245,Ingrid,,IJburg - Zeeburgereiland,52.35559,5.0032,Entire home/apt,135,1,8,2023-11-12,0.13,1,12,7,0363 B43C B1D4 2666 3739
55709,Loft in Amsterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,170,28,66,2023-03-19,0.42,1,19,1,0363 E295 7D15 8420 343E
